"","Origin.City","Origin.State","Destination.City","Destination.State","Class","Age","Gender","Type.of.Travel","Price.Sensitivity","Year.of.First.Flight","Flights.Per.Year","Flyer.Status","Total.Frequent.Flyer.Accounts","Loyalty","Likelihood.to.Recommend","Shopping.at.Airport","Eating.and.Drinking.at.Airport","Partner.Code","Partner.Name","Flight.Cancelled","Month.of.Flight","Day.of.Flight","Scheduled.Time.of.Departure","Departure.Delay.In.Minutes","Arrival.Delay.in.Minutes","Flight.Duration.in.Minutes","Flight.Distance","Origin.Longitude","Origin.Latitude","Destination.Longitude","Destination.Latitude","Comments"
"18","San Francisco","California","Las Vegas","Nevada","Eco",62,"Female","Personal Travel",1,2003,34,"Blue",0,-0.7895,7,10,45,"WN","Cheapseats Airlines Inc.","No",3,8,9,0,0,67,414,-122.1585,37.6712,-115.1672,36.1349,NA
"19","Orlando","Florida","Cleveland","Ohio","Eco",63,"Female","Personal Travel",1,2003,31,"Blue",0,-0.8788,5,0,90,"OU","Oursin Airlines Inc.","No",3,17,15,26,14,111,895,-81.4112,28.5844,-81.6054,41.4436,NA
"20","Atlanta","Georgia","New York","New York","Eco",25,"Male","Business travel",1,2009,13,"Blue",1,0.4902,9,0,50,"DL","Sigma Airlines Inc.","No",1,25,21,0,0,97,760,-84.3319,33.8241,-73.9702,40.7184,NA
"21","Los Angeles","California","Columbus","Ohio","Eco",70,"Male","Business travel",1,2008,8,"Gold",0,0,9,0,45,"AA","Paul Smith Airlines Inc.","No",1,27,10,0,0,232,1995,-118.1043,33.9827,-82.9685,40.0212,NA
"22","Atlanta","Georgia","Philadelphia","Pennsylvania","Eco",71,"Male","Personal Travel",0,2009,75,"Blue",2,-0.8293,3,0,40,"US","Southeast Airlines Co.","No",3,20,6,0,0,87,666,-84.3319,33.8241,-75.2984,39.9733,NA
"23","Chicago","Illinois","Kansas City","Missouri","Eco",57,"Male","Personal Travel",1,2003,40,"Blue",0,-0.9512,4,60,70,"WN","Cheapseats Airlines Inc.","No",2,24,15,0,0,70,405,-87.8954,41.8271,-94.5949,39.0398,NA
"24","Tampa","Florida","Cleveland","Ohio","Eco",41,"Male","Business travel",2,2005,18,"Blue",0,-0.2857,8,0,20,"EV","FlyFast Airways Inc.","No",1,22,18,0,0,130,927,-82.5132,28.0062,-81.6054,41.4436,NA
"25","Phoenix","Arizona","San Jose","California","Eco",31,"Male","Business travel",1,2003,15,"Silver",2,0.1667,10,0,90,"WN","Cheapseats Airlines Inc.","No",1,22,14,54,47,94,621,-111.97,33.4941,-121.9451,37.3298,NA
"26","Colorado Springs","Colorado","Denver","Colorado","Eco",55,"Female","Business travel",1,2007,6,"Platinum",0,0.0769,10,0,105,"OO","Northwest Business Airlines Inc.","No",2,5,7,4,11,20,73,-104.7706,38.873,-104.9551,39.7108,NA
"27","Austin","Texas","Dallas","Texas","Eco",64,"Female","Personal Travel",1,2003,14,"Blue",0,-0.75,6,0,70,"WN","Cheapseats Airlines Inc.","No",1,29,14,0,0,44,189,-97.7615,30.3585,-96.972,32.8127,NA
"28","Denver","Colorado","Milwaukee","Wisconsin","Eco",39,"Female","Business travel",1,2012,1,"Gold",3,0.8667,10,45,50,"F9","GoingNorth Airlines Inc.","No",3,2,14,16,4,106,896,-104.9551,39.7108,-88.1005,43.0557,NA
"29","South Bend","Indiana","Detroit","Michigan","Eco",20,"Male","Business travel",0,2007,1,"Blue",2,0,9,0,60,"OO","Northwest Business Airlines Inc.","No",3,24,17,0,0,41,157,-86.2017,41.7144,-83.2276,42.49,NA
"30","Portland","Oregon","Los Angeles","California","Eco",54,"Female","Personal Travel",1,2004,28,"Blue",0,-0.5556,7,5,15,"AS","FlyToSun Airlines Inc.","No",1,4,11,0,0,108,834,-122.6511,45.5204,-118.1043,33.9827,NA
"31","Los Angeles","California","San Jose","California","Business",54,"Female","Business travel",1,2011,13,"Blue",3,-0.1818,10,0,70,"WN","Cheapseats Airlines Inc.","No",3,11,20,0,0,50,308,-118.1043,33.9827,-121.9451,37.3298,NA
"32","Seattle","Washington","Fairbanks","Alaska","Eco",55,"Male","Business travel",2,2006,35,"Platinum",0,-0.8421,7,0,45,"AS","FlyToSun Airlines Inc.","No",2,20,23,0,0,211,1533,-122.2747,47.4684,-147.7057,64.802,NA
"33","Chicago","Illinois","Pittsburgh","Pennsylvania","Eco Plus",51,"Male","Business travel",1,2006,44,"Blue",0,-0.6604,9,5,45,"WN","Cheapseats Airlines Inc.","No",3,13,14,1,2,54,402,-87.8954,41.8271,-79.951,40.457,NA
"34","Tulsa","Oklahoma","Houston","Texas","Eco",25,"Female","Business travel",2,2006,2,"Silver",0,0.6667,10,235,75,"WN","Cheapseats Airlines Inc.","No",1,23,11,12,0,72,453,-95.9013,36.1054,-95.3935,29.7843,NA
"35","Seattle","Washington","Tucson","Arizona","Eco",62,"Female","Business travel",2,2005,16,"Silver",0,-0.2308,9,90,15,"AS","FlyToSun Airlines Inc.","No",2,11,12,0,0,130,1216,-122.2747,47.4684,-110.9461,32.2549,NA
"36","Orlando","Florida","Buffalo","New York","Business",42,"Male","Business travel",1,2009,21,"Blue",2,-0.68,9,0,30,"WN","Cheapseats Airlines Inc.","No",3,29,11,50,98,125,1011,-81.4112,28.5844,-78.8237,42.9249,NA
"37","New York","New York","Los Angeles","California","Eco",23,"Male","Business travel",1,2008,0,"Blue",0,1,8,0,30,"VX","Cool&Young Airlines Inc.","No",1,29,13,0,0,350,2475,-73.9702,40.7184,-118.1043,33.9827,NA
"38","Denver","Colorado","Minneapolis","Minnesota","Eco",18,"Male","Business travel",2,2008,12,"Blue",1,-0.2,7,0,10,"DL","Sigma Airlines Inc.","No",2,13,11,0,0,96,680,-104.9551,39.7108,-93.2798,44.9782,NA
"39","Sacramento","California","Seattle","Washington","Eco",35,"Female","Business travel",2,2007,25,"Blue",2,-0.6129,8,70,30,"WN","Cheapseats Airlines Inc.","No",1,17,12,0,0,91,605,-121.3247,38.6386,-122.2747,47.4684,NA
"40","San Juan","Puerto Rico","Tampa","Florida","Eco",58,"Male","Personal Travel",1,2008,13,"Silver",0,-0.1304,10,0,90,"B6","OnlyJets Airlines Inc.","No",3,1,13,0,0,170,1237,-66.1162,18.2882,-82.5132,28.0062,NA
"41","San Francisco","California","Boston","Massachusetts","Eco",73,"Female","Mileage tickets",1,2004,29,"Gold",0,-0.8125,6,30,30,"VX","Cool&Young Airlines Inc.","No",3,13,9,2,1,314,2704,-122.1585,37.6712,-71.1407,42.3731,NA
"42","Charlotte","North Carolina","Houston","Texas","Eco",33,"Female","Business travel",1,2005,11,"Silver",0,-0.5714,8,0,40,"EV","FlyFast Airways Inc.","No",2,27,16,0,0,150,912,-80.8158,35.2497,-95.3935,29.7843,NA
"43","Grand Junction","Colorado","Denver","Colorado","Eco",34,"Female","Business travel",2,2004,23,"Blue",1,-0.4839,8,210,30,"EV","FlyFast Airways Inc.","No",2,28,17,0,0,38,212,-108.5675,39.0891,-104.9551,39.7108,NA
"44","Reno","Nevada","Los Angeles","California","Eco",33,"Female","Business travel",1,2004,0,"Blue",2,1,8,5,15,"OO","Northwest Business Airlines Inc.","No",1,12,14,0,0,59,391,-119.7959,39.5326,-118.1043,33.9827,NA
"45","Tampa","Florida","Miami","Florida","Eco",80,"Female","Personal Travel",1,2003,46,"Blue",0,-0.7358,7,30,75,"AA","Paul Smith Airlines Inc.","No",1,15,7,0,0,43,204,-82.5132,28.0062,-80.2314,26.1756,NA
"46","Houston","Texas","Washington","Virginia","Eco",33,"Male","Business travel",1,2010,1,"Blue",2,0.5,7,0,10,"OU","Oursin Airlines Inc.","No",2,27,11,0,0,142,1190,-95.3935,29.7843,-77.1897,38.8974,NA
"47","Atlanta","Georgia","Richmond","Virginia","Eco",62,"Male","Business travel",1,2009,24,"Silver",0,-0.6552,9,0,55,"FL","FlyHere Airways","No",3,17,13,0,0,60,481,-84.3319,33.8241,-77.488,37.4779,NA
"48","Los Angeles","California","Las Vegas","Nevada","Eco",80,"Male","Business travel",1,2006,1,"Blue",3,0.9667,9,0,45,"OU","Oursin Airlines Inc.","No",3,12,16,0,0,41,236,-118.1043,33.9827,-115.1672,36.1349,NA
"49","Detroit","Michigan","Hartford","Connecticut","Eco",38,"Male","Business travel",2,2003,29,"Platinum",3,-0.4872,8,20,30,"DL","Sigma Airlines Inc.","No",1,24,15,67,74,74,549,-83.2276,42.49,-72.6988,41.7401,NA
"50","Chicago","Illinois","Atlanta","Georgia","Eco",49,"Female","Business travel",1,2007,19,"Blue",0,-0.7273,9,102,50,"FL","FlyHere Airways","No",3,11,14,1,2,92,591,-87.8954,41.8271,-84.3319,33.8241,NA
"51","Boston","Massachusetts","Charlotte","North Carolina","Eco Plus",35,"Female","Business travel",1,2009,13,"Silver",3,-0.2381,9,0,60,"US","Southeast Airlines Co.","No",2,26,5,0,0,125,728,-71.1407,42.3731,-80.8158,35.2497,NA
"52","New Orleans","Louisiana","Houston","Texas","Eco",40,"Female","Personal Travel",1,2007,6,"Gold",2,0.5862,10,5,85,"OU","Oursin Airlines Inc.","No",3,24,6,0,0,56,305,-90.1437,29.9547,-95.3935,29.7843,NA
"53","Milwaukee","Wisconsin","Kansas City","Missouri","Business",65,"Female","Personal Travel",1,2007,39,"Blue",0,-0.814,4,0,75,"WN","Cheapseats Airlines Inc.","No",1,27,17,21,14,73,436,-88.1005,43.0557,-94.5949,39.0398,NA
"54","New York","New York","Orlando","Florida","Eco",70,"Male","Personal Travel",1,2006,52,"Blue",0,-0.7931,4,15,125,"B6","OnlyJets Airlines Inc.","No",3,12,15,0,0,141,944,-73.9702,40.7184,-81.4112,28.5844,NA
"55","Miami","Florida","Hartford","Connecticut","Eco",44,"Female","Business travel",1,2007,58,"Blue",2,-0.7059,4,0,60,"AA","Paul Smith Airlines Inc.","No",2,1,20,18,27,151,1194,-80.2314,26.1756,-72.6988,41.7401,NA
"56","Phoenix","Arizona","Detroit","Michigan","Eco Plus",23,"Female","Business travel",2,2007,9,"Blue",1,0.1818,9,0,75,"US","Southeast Airlines Co.","No",3,14,12,61,52,196,1671,-111.97,33.4941,-83.2276,42.49,NA
"57","Tucson","Arizona","Las Vegas","Nevada","Eco",73,"Female","Personal Travel",1,2011,42,"Silver",0,-0.8261,7,0,95,"WN","Cheapseats Airlines Inc.","No",3,28,21,12,10,59,365,-110.9461,32.2549,-115.1672,36.1349,NA
"58","Atlanta","Georgia","Milwaukee","Wisconsin","Eco",56,"Male","Business travel",1,2010,3,"Blue",0,-0.2,10,0,90,"FL","FlyHere Airways","No",1,30,18,1,5,109,669,-84.3319,33.8241,-88.1005,43.0557,NA
"59","Houston","Texas","Denver","Colorado","Eco Plus",19,"Female","Personal Travel",1,2003,22,"Blue",0,-0.4194,3,0,60,"OU","Oursin Airlines Inc.","No",3,31,12,23,9,122,862,-95.3935,29.7843,-104.9551,39.7108,NA
"60","New Orleans","Louisiana","Dallas","Texas","Eco",72,"Female","Personal Travel",2,2005,8,"Blue",0,-0.6,3,95,40,"WN","Cheapseats Airlines Inc.","No",1,17,9,15,15,76,436,-90.1437,29.9547,-96.972,32.8127,NA
"61","Orlando","Florida","Miami","Florida","Eco Plus",58,"Female","Business travel",1,2007,1,"Blue",0,0.8,9,0,30,"AA","Paul Smith Airlines Inc.","No",1,27,20,0,0,35,192,-81.4112,28.5844,-80.2314,26.1756,NA
"62","Phoenix","Arizona","Detroit","Michigan","Eco",63,"Female","Business travel",1,2003,13,"Blue",0,-0.1818,9,0,70,"DL","Sigma Airlines Inc.","No",3,12,9,9,0,183,1671,-111.97,33.4941,-83.2276,42.49,NA
"63","Atlanta","Georgia","Boston","Massachusetts","Eco",31,"Female","Business travel",1,2003,8,"Blue",2,0.4286,8,0,15,"DL","Sigma Airlines Inc.","No",3,21,11,0,0,118,946,-84.3319,33.8241,-71.1407,42.3731,NA
"64","Anchorage","Alaska","Seattle","Washington","Eco",62,"Female","Mileage tickets",1,2008,8,"Blue",0,0.1111,9,0,30,"AS","FlyToSun Airlines Inc.","No",3,5,20,0,0,182,1448,-149.8472,61.1679,-122.2747,47.4684,NA
"65","Sacramento","California","Phoenix","Arizona","Eco",31,"Female","Personal Travel",1,2012,8,"Blue",4,0.3333,7,0,25,"US","Southeast Airlines Co.","No",2,9,12,6,0,82,647,-121.3247,38.6386,-111.97,33.4941,NA
"66","Detroit","Michigan","Philadelphia","Pennsylvania","Eco",67,"Male","Personal Travel",1,2006,31,"Blue",0,-0.8235,8,0,120,"US","Southeast Airlines Co.","No",2,15,7,0,0,75,453,-83.2276,42.49,-75.2984,39.9733,NA
"67","Atlanta","Georgia","Charleston","South Carolina","Business",40,"Female","Business travel",2,2003,0,"Blue",3,1,9,0,50,"DL","Sigma Airlines Inc.","No",2,11,16,0,0,43,259,-84.3319,33.8241,-80.0155,32.9023,NA
"68","San Diego","California","Las Vegas","Nevada","Eco",41,"Male","Business travel",2,2009,21,"Blue",0,-0.75,9,20,30,"WN","Cheapseats Airlines Inc.","No",1,16,10,0,0,48,258,-117.1288,32.9287,-115.1672,36.1349,NA
"69","Chicago","Illinois","New Orleans","Louisiana","Eco",72,"Female","Personal Travel",1,2003,29,"Blue",0,-0.5263,4,15,45,"OU","Oursin Airlines Inc.","No",3,5,18,0,0,119,837,-87.8954,41.8271,-90.1437,29.9547,NA
"70","Baltimore","Maryland","Los Angeles","California","Eco",19,"Female","Business travel",0,2010,16,"Blue",3,0.3191,9,60,120,"WN","Cheapseats Airlines Inc.","No",1,1,10,2,0,340,2329,-76.6478,39.2341,-118.1043,33.9827,NA
"71","New York","New York","Chicago","Illinois","Eco",28,"Female","Personal Travel",2,2008,8,"Blue",2,0.4839,8,0,90,"OU","Oursin Airlines Inc.","No",1,9,9,0,23,124,733,-73.9702,40.7184,-87.8954,41.8271,NA
"72","Pittsburgh","Pennsylvania","Orlando","Florida","Eco",37,"Female","Personal Travel",2,2003,8,"Blue",3,-0.2308,8,270,95,"WN","Cheapseats Airlines Inc.","No",2,3,6,0,6,119,834,-79.951,40.457,-81.4112,28.5844,NA
"73","Lubbock","Texas","Dallas","Texas","Eco",80,"Female","Personal Travel",1,2009,33,"Blue",0,-0.5714,5,0,130,"WN","Cheapseats Airlines Inc.","No",2,20,16,8,3,47,293,-101.8932,33.5592,-96.972,32.8127,NA
"74","Orlando","Florida","Kansas City","Missouri","Eco",67,"Male","Personal Travel",1,2011,43,"Blue",0,-0.6538,4,0,120,"WN","Cheapseats Airlines Inc.","No",3,8,12,63,64,159,1072,-81.4112,28.5844,-94.5949,39.0398,NA
"75","Minneapolis","Minnesota","Phoenix","Arizona","Eco",54,"Female","Business travel",1,2011,6,"Blue",0,0.25,7,0,40,"DL","Sigma Airlines Inc.","No",1,10,9,0,15,181,1276,-93.2798,44.9782,-111.97,33.4941,NA
"76","Pensacola","Florida","Houston","Texas","Eco",27,"Male","Business travel",1,2003,9,"Blue",0,0,5,30,105,"EV","FlyFast Airways Inc.","No",1,8,17,0,0,93,489,-87.2534,30.4853,-95.3935,29.7843,NA
"77","Bakersfield","California","Phoenix","Arizona","Eco",31,"Female","Personal Travel",1,2010,1,"Blue",3,0.9333,4,18,55,"OO","Northwest Business Airlines Inc.","No",1,28,12,0,0,70,425,-119.0306,35.3623,-111.97,33.4941,NA
"78","Atlanta","Georgia","Seattle","Washington","Eco",23,"Male","Business travel",2,2010,22,"Blue",0,-0.4667,9,80,50,"DL","Sigma Airlines Inc.","No",2,1,13,15,7,299,2182,-84.3319,33.8241,-122.2747,47.4684,NA
"79","Atlanta","Georgia","Boston","Massachusetts","Eco",40,"Female","Business travel",2,2007,7,"Blue",1,0.3333,7,25,40,"DL","Sigma Airlines Inc.","No",2,10,8,0,0,104,946,-84.3319,33.8241,-71.1407,42.3731,NA
"80","San Francisco","California","Atlanta","Georgia","Eco",54,"Male","Business travel",1,2009,22,"Blue",3,-0.375,9,45,35,"DL","Sigma Airlines Inc.","No",3,30,11,0,8,250,2139,-122.1585,37.6712,-84.3319,33.8241,NA
"81","Chicago","Illinois","Syracuse","New York","Eco",50,"Female","Business travel",1,2005,14,"Blue",0,-0.4,5,0,105,"EV","FlyFast Airways Inc.","No",2,18,13,74,65,76,607,-87.8954,41.8271,-76.164,43.0904,NA
"82","Washington","Virginia","Miami","Florida","Eco",64,"Male","Personal Travel",1,2003,68,"Blue",0,-0.971,4,0,15,"AA","Paul Smith Airlines Inc.","No",3,23,6,0,0,123,919,-77.1897,38.8974,-80.2314,26.1756,NA
"83","Las Vegas","Nevada","Chicago","Illinois","Eco",41,"Female","Mileage tickets",1,2003,13,"Silver",2,0.2973,9,0,75,"OU","Oursin Airlines Inc.","No",3,23,11,6,0,172,1514,-115.1672,36.1349,-87.8954,41.8271,NA
"84","Atlanta","Georgia","Miami","Florida","Eco",51,"Female","Business travel",2,2004,28,"Blue",0,-0.5556,9,91,45,"MQ","EnjoyFlying Air Services","No",3,8,15,11,0,88,594,-84.3319,33.8241,-80.2314,26.1756,NA
"85","Salt Lake City","Utah","Helena","Montana","Eco",73,"Male","Personal Travel",1,2007,20,"Platinum",0,-0.8182,7,50,60,"OO","Northwest Business Airlines Inc.","No",1,13,20,0,0,74,402,-111.9295,40.6408,-111.9935,46.6141,NA
"86","Santa Barbara","California","Los Angeles","California","Eco",38,"Female","Business travel",1,2004,14,"Silver",1,0.0968,10,0,90,"OO","Northwest Business Airlines Inc.","No",3,12,6,0,0,25,89,-119.7241,34.4275,-118.1043,33.9827,NA
"87","Wilmington","North Carolina","Atlanta","Georgia","Eco",31,"Female","Business travel",2,2010,0,"Blue",2,1,5,15,15,"EV","FlyFast Airways Inc.","No",3,6,17,20,62,97,377,-77.8963,34.2166,-84.3319,33.8241,NA
"88","San Francisco","California","Las Vegas","Nevada","Business",68,"Female","Business travel",1,2006,23,"Blue",0,-0.4839,8,150,90,"WN","Cheapseats Airlines Inc.","No",3,15,20,4,5,70,414,-122.1585,37.6712,-115.1672,36.1349,NA
"89","Houston","Texas","Atlanta","Georgia","Eco",50,"Male","Business travel",1,2005,46,"Gold",0,-0.84,10,60,90,"EV","FlyFast Airways Inc.","No",1,15,15,21,18,99,689,-95.3935,29.7843,-84.3319,33.8241,NA
"90","Little Rock","Arkansas","Denver","Colorado","Eco",30,"Male","Business travel",1,2006,4,"Blue",2,0.4667,9,25,30,"OO","Northwest Business Airlines Inc.","No",2,17,13,0,3,121,771,-92.3212,34.7566,-104.9551,39.7108,NA
"91","Albuquerque","New Mexico","Las Vegas","Nevada","Eco",41,"Male","Business travel",1,2004,4,"Silver",2,0.1111,10,0,90,"WN","Cheapseats Airlines Inc.","No",3,10,11,0,0,73,486,-106.6281,35.1434,-115.1672,36.1349,NA
"92","Washington","Virginia","Providence","Rhode Island","Eco",38,"Female","Personal Travel",1,2003,17,"Blue",3,0,4,60,95,"EV","FlyFast Airways Inc.","No",3,9,18,13,11,60,372,-77.1897,38.8974,-71.3974,41.7763,NA
"93","Sacramento","California","Los Angeles","California","Eco",64,"Male","Personal Travel",1,2008,12,"Blue",0,-0.7143,4,120,130,"OO","Northwest Business Airlines Inc.","No",2,6,18,8,15,61,373,-121.3247,38.6386,-118.1043,33.9827,NA
"94","Phoenix","Arizona","San Jose","California","Eco",39,"Male","Business travel",1,2007,17,"Blue",0,-0.3077,8,60,40,"US","Southeast Airlines Co.","No",3,4,10,4,9,101,621,-111.97,33.4941,-121.9451,37.3298,NA
"95","Columbus","Ohio","Chicago","Illinois","Eco",65,"Female","Personal Travel",1,2005,38,"Blue",0,-0.7273,8,0,125,"MQ","EnjoyFlying Air Services","Yes",1,18,15,15.2988083416087,15.6108232011162,115.183775164441,296,-82.9685,40.0212,-87.8954,41.8271,NA
"96","Philadelphia","Pennsylvania","Charlotte","North Carolina","Eco Plus",57,"Female","Business travel",1,2006,23,"Blue",0,-0.4839,10,0,90,"US","Southeast Airlines Co.","No",3,11,6,1,0,69,449,-75.2984,39.9733,-80.8158,35.2497,NA
"97","Salt Lake City","Utah","Orlando","Florida","Eco",30,"Male","Business travel",2,2005,2,"Silver",1,0.8571,9,0,75,"DL","Sigma Airlines Inc.","No",1,12,9,0,0,231,1931,-111.9295,40.6408,-81.4112,28.5844,NA
"98","Pensacola","Florida","Atlanta","Georgia","Eco",22,"Male","Business travel",1,2007,58,"Blue",0,-0.9016,7,10,30,"DL","Sigma Airlines Inc.","No",3,6,11,0,21,48,271,-87.2534,30.4853,-84.3319,33.8241,NA
"99","Salt Lake City","Utah","Cedar City","Utah","Eco",38,"Male","Personal Travel",1,2012,17,"Silver",0,-0.3077,9,210,225,"OO","Northwest Business Airlines Inc.","No",1,20,8,0,7,36,221,-111.9295,40.6408,-113.0688,37.7125,NA
"100","Chicago","Illinois","Columbus","Ohio","Eco",80,"Female","Personal Travel",1,2010,21,"Blue",0,-0.5,5,90,90,"MQ","EnjoyFlying Air Services","No",1,15,9,1,8,53,296,-87.8954,41.8271,-82.9685,40.0212,NA
"101","Birmingham","Alabama","Houston","Texas","Eco",52,"Female","Business travel",2,2012,21,"Blue",0,-0.3548,5,0,90,"EV","FlyFast Airways Inc.","No",3,28,15,0,0,98,562,-86.792,33.4691,-95.3935,29.7843,NA
"102","Sacramento","California","Phoenix","Arizona","Eco",41,"Male","Business travel",1,2003,42,"Silver",0,-0.6154,9,70,10,"US","Southeast Airlines Co.","No",3,13,19,0,0,90,647,-121.3247,38.6386,-111.97,33.4941,NA
"103","Houston","Texas","Mobile","Alabama","Eco Plus",41,"Female","Personal Travel",1,2011,25,"Gold",2,0.2188,7,0,30,"EV","FlyFast Airways Inc.","No",3,13,20,0,0,56,427,-95.3935,29.7843,-88.1635,30.6674,NA
"104","Orlando","Florida","New York","New York","Eco",37,"Male","Business travel",2,2004,25,"Blue",2,-0.0638,9,0,45,"B6","OnlyJets Airlines Inc.","No",3,9,16,107,94,126,944,-81.4112,28.5844,-73.9702,40.7184,NA
"105","Dallas","Texas","San Antonio","Texas","Eco Plus",55,"Female","Business travel",1,2006,15,"Blue",0,-0.25,9,0,55,"WN","Cheapseats Airlines Inc.","No",2,2,12,13,20,55,248,-96.972,32.8127,-98.4754,29.5144,NA
"106","Chicago","Illinois","Kansas City","Missouri","Eco",44,"Female","Business travel",1,2006,22,"Blue",2,-0.1282,7,77,45,"MQ","EnjoyFlying Air Services","No",1,20,9,15,27,72,403,-87.8954,41.8271,-94.5949,39.0398,NA
"107","Washington","Virginia","Denver","Colorado","Eco",28,"Male","Business travel",1,2009,7,"Blue",1,0.5882,4,175,150,"OU","Oursin Airlines Inc.","No",3,1,21,12,26,229,1452,-77.1897,38.8974,-104.9551,39.7108,NA
"108","Minneapolis","Minnesota","Bozeman","Montana","Eco Plus",41,"Female","Personal Travel",2,2012,0,"Blue",4,1,4,0,50,"DL","Sigma Airlines Inc.","No",1,22,11,0,0,132,874,-93.2798,44.9782,-111.0576,45.6839,NA
